ID Number,Label,West,North,X,Y,Type
1,46015,-124.832,42.764,350104.4,4736235.3,1
2,46027,-124.382,41.852,385280,4634267.4,1
3,46029,-124.514,46.159,383104.3,5112827.8,1
4,46041,-124.731,47.353,369270.6,5245845.7,1
5,46050,-124.526,44.656,379010.2,4945870.1,1
6,46087,-125.819,45.893,281300.6,5086023.8,1
7,46088,-123.165,48.334,487771.4,5353437.2,1
8,46089,-124.728,48.494,372336.7,5372650.5,1
9,desw1,-124.485,47.675,388532.9,5281246.9,2
10,nwpo3,-124.067,44.613,415339.8,4940514.7,2
11,sisw1,-122.843,48.318,511639.3,5351657.5,2
12,ttiw1,-124.735,48.392,371562.6,5361325.1,2
13,wpow1,-122.436,47.662,542345.9,5278888.1,2
